,serialno,insp,RT,DIVISION,puma00,puma10,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BATH,BDSP,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,MHP,MRGI,MRGP,MRGT,MRGX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80,cars,children,income,workers
0,2012000000943,,H,5,-9,3106,3,37,1014531,1024887,12,3,1,1.0,,1.0,3.0,2.0,2.0,0.0,120.0,2.0,2.0,110.0,1.0,,,,,,1.0,7.0,2.0,600.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,1.0,700.0,1.0,7.0,23860.0,2.0,888.0,45.0,1.0,3.0,23860.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,1.0,0.0,,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,12,24,3,11,12,19,11,23,17,2,4,12,13,12,12,22,4,13,3,10,10,18,3,11,10,19,11,18,22,4,3,11,12,10,12,21,3,13,23,12,10,3,20,11,11,4,13,2,3,20,17,12,11,12,11,4,21,11,21,12,13,3,22,10,13,3,11,4,3,20,19,12,12,11,11,4,20,11,3,one,yes,lt35,one
1,2012000002100,360.0,H,5,-9,3106,3,37,1014531,1024887,13,1,1,1.0,,1.0,2.0,2.0,2.0,0.0,60.0,2.0,250.0,40.0,3.0,,,,,3.0,1.0,6.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,200000.0,1.0,200.0,4.0,,,,,,1.0,6.0,60000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,368.0,,0.0,1.0,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,13,3,22,11,13,4,13,4,3,24,20,13,13,10,12,4,24,24,11,12,12,3,20,11,15,4,13,3,3,25,24,17,15,14,13,4,23,4,14,13,13,21,3,12,14,19,13,17,23,3,4,14,15,15,12,21,3,5,14,13,14,19,4,12,13,26,12,21,23,4,3,14,11,13,15,20,4,20,one,no,lt35,none
2,2012000014584,380.0,H,5,-9,3106,3,37,1014531,1024887,14,2,1,1.0,,1.0,2.0,3.0,2.0,200.0,90.0,2.0,2.0,90.0,1.0,,2.0,1000.0,1.0,1.0,1.0,6.0,,,1.0,9.0,1.0,280.0,1.0,1.0,1.0,1.0,,250000.0,1.0,1.0,11.0,4.0,80900.0,4.0,,,1.0,1.0,80900.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1692.0,2.0,0.0,1.0,40.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12,15,17,15,4,13,14,25,29,4,4,24,14,4,20,29,15,14,14,5,12,12,11,13,5,14,19,28,28,5,4,21,16,4,20,25,14,18,12,4,15,19,17,15,4,15,12,25,21,4,3,24,14,4,29,24,14,16,19,4,14,12,16,16,4,17,15,26,27,3,5,22,17,5,23,25,12,14,13,one,no,gt35-lt100,none
3,2012000016171,,H,5,-9,3106,3,37,1014531,1024887,21,1,1,1.0,,1.0,2.0,3.0,2.0,0.0,150.0,2.0,2.0,50.0,3.0,,,,,,1.0,4.0,2.0,1200.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,1.0,240.0,11.0,,,,1420.0,19.0,1.0,6.0,90500.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26,35,21,6,18,5,39,21,6,4,16,17,21,21,23,40,27,6,35,7,23,6,22,36,21,40,5,22,37,40,23,19,20,19,21,5,23,37,7,7,24,5,16,34,20,37,6,21,27,34,21,21,21,21,21,4,24,38,6,39,21,41,21,6,18,8,33,21,8,7,27,17,25,23,21,38,19,7,35,38,one,no,lt35,none
4,2012000018635,,H,5,-9,3106,3,37,1014531,1024887,69,2,1,2.0,1.0,1.0,4.0,2.0,2.0,0.0,150.0,2.0,2.0,110.0,1.0,,,,,,1.0,10.0,2.0,950.0,1.0,9.0,1.0,,1.0,1.0,3.0,1.0,,,3.0,100.0,3.0,,,,1218.0,27.0,4.0,5.0,55000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,121,16,75,18,23,69,27,112,61,66,72,99,59,18,68,108,119,72,73,81,20,117,69,114,118,82,117,20,63,61,78,21,71,126,76,24,22,74,80,85,105,22,67,23,17,60,21,112,66,61,57,124,61,24,76,127,145,76,75,69,24,103,84,105,115,61,111,22,57,73,67,24,55,116,79,21,21,61,60,two or more,no,lt35,none
5,2012000023373,600.0,H,5,-9,3106,3,37,1014531,1024887,12,3,1,1.0,,1.0,4.0,2.0,2.0,0.0,90.0,2.0,2.0,50.0,1.0,,,,,3.0,1.0,8.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,165000.0,3.0,360.0,7.0,1.0,110600.0,4.0,,,1.0,1.0,110600.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,387.0,,0.0,1.0,32.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,12,4,12,11,4,12,25,4,4,22,10,13,24,10,23,13,14,4,12,21,13,20,10,12,18,13,4,18,22,3,11,14,4,11,3,13,11,3,11,19,13,23,11,12,20,13,3,21,19,4,11,13,3,11,4,14,11,20,11,4,13,3,11,11,3,13,20,5,4,23,13,14,20,13,22,14,13,25,two or more,no,gt100,two or more
6,2012000024210,0.0,H,5,-9,3106,3,37,1014531,1024887,21,4,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,230.0,2.0,2.0,120.0,1.0,,,,,3.0,1.0,5.0,,,1.0,9.0,1.0,,1.0,1.0,2.0,1.0,,85000.0,1.0,1200.0,4.0,8.0,58200.0,4.0,,,1.0,3.0,58200.0,0.0,4.0,4.0,4.0,1.0,1.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,517.0,,0.0,1.0,18.0,2.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,7,27,50,22,21,28,4,23,41,18,31,33,8,21,5,21,15,7,23,19,5,51,28,16,26,19,7,15,33,18,33,39,6,26,7,18,24,8,22,17,30,4,7,19,19,26,45,18,10,26,6,8,40,18,31,15,17,32,26,25,28,8,4,16,23,22,43,28,7,22,5,6,32,20,27,18,25,33,16,one,no,gt35-lt100,two or more
7,2012000025466,760.0,H,5,-9,3106,3,37,1014531,1024887,7,2,1,2.0,1.0,1.0,3.0,2.0,2.0,0.0,150.0,2.0,2.0,40.0,3.0,,2.0,930.0,2.0,1.0,1.0,7.0,,,1.0,9.0,1.0,830.0,1.0,1.0,1.0,1.0,,200000.0,3.0,2.0,6.0,1.0,77000.0,4.0,,,1.0,1.0,77000.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2163.0,2.0,0.0,1.0,30.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,14,5,7,2,7,2,2,12,11,9,8,7,7,2,15,8,7,15,6,2,14,6,7,2,8,2,3,13,11,8,8,8,7,2,12,7,8,13,7,2,15,8,7,2,8,2,2,13,12,7,7,6,6,2,12,8,8,12,10,2,13,7,8,2,7,3,2,12,13,7,7,7,8,2,13,7,8,13,two or more,no,gt35-lt100,two or more
8,2012000033179,350.0,H,5,-9,3106,3,37,1014531,1024887,13,5,1,1.0,,1.0,3.0,2.0,2.0,0.0,90.0,2.0,2.0,70.0,1.0,,1.0,1200.0,1.0,1.0,1.0,9.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,150000.0,3.0,250.0,9.0,1.0,100000.0,1.0,,,1.0,1.0,100000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1381.0,3.0,0.0,1.0,28.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,12,15,12,5,5,15,5,25,4,21,13,23,25,16,11,14,16,13,27,11,5,20,19,11,11,4,14,11,12,12,4,15,18,19,26,6,3,14,4,14,27,4,4,13,14,21,11,15,17,16,23,13,12,4,5,21,20,24,10,5,14,14,15,25,26,14,21,5,18,4,12,5,3,17,13,12,17,5,two or more,yes,gt35-lt100,two or more
9,2012000033333,3000.0,H,5,-9,3106,3,37,1014531,1024887,13,1,1,1.0,,1.0,3.0,2.0,2.0,100.0,90.0,2.0,2.0,20.0,1.0,,1.0,670.0,1.0,1.0,1.0,4.0,,,1.0,9.0,1.0,,1.0,1.0,1.0,1.0,,158000.0,1.0,20.0,8.0,,,,,,1.0,6.0,350.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,0.0,,0.0,0.0,0.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,882.0,3.0,0.0,1.0,30.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,3,12,13,13,14,14,25,19,19,11,4,12,21,14,12,23,14,21,22,23,24,13,12,13,15,12,3,3,3,12,21,12,3,14,12,4,13,4,3,4,4,13,14,13,14,12,18,23,21,14,4,13,23,12,12,23,15,23,21,21,21,12,11,13,13,13,5,4,4,12,21,12,4,13,11,4,11,4,one,no,lt35,none
